x,y,id
13.0,42.0,portrait_seen_impression_wrought_1876
64.0,49.0,still_life_shell_instruments_death_murder_1877
68.0,35.0,landscape_little_towring_hand_cufft_almo_1882
29.0,60.0,landscape_cells_thro_fancy_rove_10077
53.0,54.0,landscape_bright_visions_rushing_thy_min_10079
57.0,41.0,landscape_lodging_lodgings_1887
45.0,38.0,portrait_mixed_multitude_gondoleers_peo_10093
64.0,54.0,portrait_sentinel_perpetual_emanation_g_1910
75.0,24.0,landscape_takes_walk_large_campaign_1911
32.0,18.0,landscape_none_besiege_1914
74.0,58.0,still_life_ductile_gold_10107
48.0,81.0,landscape_efflorescence_budding_cultivat_10108
46.0,53.0,landscape_wandering_fancy_drag_something_1917
33.0,27.0,still_life_life_errors_breed_10112
3.0,46.0,portrait_mint_conduct_mint_stamp_10113
48.0,67.0,landscape_medium_e_doth_water_pure_clear_1922
69.0,17.0,portrait_conquer_1931
35.0,55.0,landscape_furniture_10124
41.0,35.0,still_life_critics_vulgar_note_10134
29.0,20.0,still_life_first_reason_blindfold_1943
23.0,58.0,landscape_window_may_open_prospect_appea_10138
30.0,62.0,landscape_brain_capital_organ_10139
70.0,31.0,landscape_put_chains_slave_use_1953
32.0,28.0,portrait_early_instilled_strict_taught__10146
79.0,54.0,still_life_pleasing_smite_represent_1956
73.0,33.0,still_life_chains_since_1961
3.0,47.0,portrait_stamp_image_thine_image_form_1963
37.0,34.0,portrait_evidently_seat_10158
25.0,39.0,landscape_passing_10162
62.0,16.0,landscape_distressed_kingdom_slave_1977
27.0,75.0,landscape_give_vacant_drum_10171
57.0,37.0,still_life_shall_remain_eternity_10175
76.0,64.0,landscape_tinder_apt_fire_1993
67.0,16.0,landscape_divide_empire_empire_controuls_2002
7.0,53.0,portrait_ductile_wax_2004
37.0,39.0,still_life_restless_still_despondency_10198
4.0,43.0,portrait_white_paper_wax_book_white_pap_2008
21.0,59.0,landscape_stop_windows_flew_2011
47.0,34.0,portrait_guest_takes_2013
82.0,27.0,still_life_bind_soft_chains_secure_2015
46.0,39.0,landscape_yet_forcibly_rushed_upon_10209
61.0,42.0,landscape_wounds_made_em_2023
25.0,46.0,portrait_eye_mirror_present_clearer_glo_10222
70.0,36.0,portrait_enemy_strongest_hearts_reason__2035
27.0,22.0,landscape_several_ways_ran_dancing_remem_2037
54.0,21.0,landscape_tamed_10234
41.0,28.0,still_life_mankind_10249
53.0,73.0,landscape_horse_wild_coursers_irregularl_2058
